team,games,kill_residual,placement_residual,total_residual
black hole,1,4.1753,3.3390,7.5142
HABNW,1,-0.9690,-2.6074,-3.5764
ARAM,1,-0.4907,0.8128,0.3221
Bearclaw Gaming,1,-3.2712,-1.8206,-5.0918
Orange,1,3.9840,-2.4732,1.5107
TitanEsportsClub,1,-2.3027,-2.0070,-4.3097
VK GAMING,1,-3.2178,-2.8052,-6.0230
DreamFire,1,-3.1463,-2.7455,-5.8918
Finishers,1,-2.1730,-1.9602,-4.1332
FURY,1,-1.8689,1.1406,-0.7282
GenG Esports,1,6.5712,-0.2210,6.3503
PXX,1,2.1830,8.2159,10.3989
RENDANG,1,5.6677,-1.0656,4.6021
TEC Academy,1,-3.0013,-2.4953,-5.4967
Wolves Esports,1,-1.2953,-1.9478,-3.2431
Dogred,1,-1.0103,-1.8411,-2.8514
MaMa Clubs,1,-1.3066,-0.9868,-2.2934
SaWeiQi,1,2.1579,5.2321,7.3900
Team RRQ,1,-1.3551,-0.0562,-1.4113
Void Esports OCE,1,-3.0860,-0.7803,-3.8663
Free Thinkers,12,-0.8293,-2.4284,-3.2577
Oblivion,9,-1.2377,-0.1331,-1.3708
THUGGETS,12,-1.4988,0.5150,-0.9838
Donut Shop,3,-3.4535,-1.9391,-5.3927
HbM,12,-2.3514,-0.9912,-3.3426
LEGACY,9,-0.3961,0.0314,-0.3647
Nice Guys,15,-1.1696,-0.8404,-2.0100
Elite Esports,9,-1.0077,-1.4167,-2.4244
Full XI,15,0.0498,-0.8353,-0.7855
NinjasinPyjamas,15,1.7572,0.5702,2.3275
S2,9,-0.0080,1.6316,1.6236
Source Gaming,12,-1.2579,-2.2083,-3.4661
Stallions,9,0.1600,0.3022,0.4623
Team Liquid,15,1.4394,0.6245,2.0639
FLAT,15,0.5204,1.2000,1.7205
HUSS,15,-1.4870,0.1174,-1.3696
Men Of Culture,12,-0.5656,-1.5070,-2.0726
Purple Slushee,12,0.3693,-0.6599,-0.2906
Team Falcons,15,0.5310,-1.3409,-0.8100
Zest Fest,12,-0.2742,-1.7135,-1.9877
ShopifyRebellion,15,1.2433,0.5407,1.7840
Buckle Boys,15,-1.4059,-1.6394,-3.0454
Crazy Thieves,15,-0.7669,0.0358,-0.7311
DINOS,15,0.3287,-0.6488,-0.3201
DKK,3,-0.2843,0.2314,-0.0529
GAMBLERS,12,-0.4769,-1.1167,-1.5936
JD GAMING,15,0.3010,-0.5933,-0.2924
medium rare,3,2.6171,1.6748,4.2919
REVIVAL,15,-1.2470,-0.9387,-2.1857
ROC Esports,15,-0.8924,-1.3199,-2.2123
Unreal Nightmare,9,-0.6087,-1.0723,-1.6810
Geekay Esports,12,-0.8480,1.3731,0.5251
Team Burger,3,-2.2655,-2.2828,-4.5483
Elite NA,3,0.0808,-0.0604,0.0204
Sentinels,6,0.6554,0.7270,1.3824
Team Nemesis,6,0.0333,-1.4212,-1.3879
Team Vision,6,0.2485,-0.0149,0.2336
GODLIKE,9,-2.3654,-0.1032,-2.4686
AG GLOBAL,6,-0.7997,-1.5057,-2.3054
