id,cx,cy,beta_p,coverage
0,26970.1,-11132.4,1.7809,13
1,226.3,10208.5,-1.8665,16
2,5287.4,6319.8,1.7094,9
3,10225.5,6365.8,2.9717,19
4,9527.6,1920.9,0.3622,11
5,35626.0,-4504.1,2.6463,12
6,-39125.6,9023.3,-1.1094,7
7,-19442.1,-26008.9,1.0236,13
8,-10637.2,-1275.2,3.6648,6
9,7703.2,2544.1,0.0776,8
10,11422.2,29126.2,0.7805,12
11,8666.6,5345.8,4.6860,9
12,1317.1,15379.1,-1.6194,10
13,7635.7,39595.6,2.0019,14
14,5877.1,7976.7,-0.8299,13
15,-19733.9,-29657.0,4.6062,6
16,3040.5,30122.7,0.9436,9
17,-41425.2,11833.7,1.7113,3
18,-16196.4,-29908.5,-0.5794,5
19,11981.5,-23057.2,3.2260,2
20,30935.7,-11493.3,-0.3358,8
21,4976.5,-10155.7,2.1603,7
22,-6121.6,3871.6,-1.2236,6
23,34050.7,-3791.0,0.5921,6
24,27240.2,25668.3,-0.2868,9
25,-11756.6,2661.3,-0.6138,5
26,-14431.1,-23608.0,-0.4313,6
27,-9034.1,30697.5,0.6395,7
28,-9865.4,-355.9,0.0100,4
29,17429.8,-30747.8,-0.0309,2
30,-108.0,7281.5,-0.3393,4
31,18482.8,-29466.4,1.5334,2
32,27968.7,38604.0,1.1757,5
33,7849.0,33694.6,0.5585,15
34,26159.5,-14738.7,0.6030,4
35,-12573.8,1589.2,-0.5966,3
36,22204.4,8735.7,0.9644,4
37,-12681.9,-14790.7,0.7529,19
38,8982.5,6818.5,0.2767,6
39,4269.2,34259.5,1.7971,11
40,-24020.4,33329.1,1.9387,7
41,6374.6,42946.0,-0.1448,3
42,-31177.8,5659.6,0.8669,6
43,25607.0,5755.4,-0.7606,4
44,-14352.0,-10291.7,-1.9027,14
45,-1019.1,14249.6,-0.5066,5
46,-40757.6,-3618.0,0.1635,2
47,33300.3,-13679.8,-1.4459,7
48,1544.6,18566.5,2.9185,5
49,-19411.1,32280.3,0.5731,3
50,17124.4,-6526.3,1.5827,9
51,-985.0,10956.8,-1.4056,4
52,-11707.2,-4556.4,4.1747,6
53,-42166.2,9542.5,2.6246,3
54,29641.6,-25936.5,0.3600,8
55,13669.4,2691.0,1.1639,1
56,16078.8,-26334.6,-0.8444,1
57,-18552.7,874.1,0.0481,10
58,-7588.0,35541.3,0.9137,5
59,25338.1,10187.7,2.3254,7
60,-11050.8,-27527.5,0.5475,6
61,19142.0,-30507.5,1.2459,2
62,11422.8,5995.8,2.0473,4
63,-374.8,14884.9,-1.3805,5
64,31252.8,-8019.8,-0.0887,7
65,-16424.1,6213.8,-0.8826,3
66,-13217.0,-18171.7,1.4428,14
67,13247.1,3039.3,-0.7704,3
68,-37287.4,14376.2,0.8245,5
69,26232.8,-12311.6,-0.1992,6
70,-2787.9,-16988.1,0.2987,8
71,-38611.3,-3966.3,-0.8730,5
72,21396.7,39779.3,1.0363,5
73,3533.8,23867.2,-0.8338,16
