id,cx,cy,dwell_sec,n_stays,n_teams,n_games
41,26970.1,-11132.4,2535,37,10,8
92,226.3,10208.5,2415,35,14,7
87,5287.4,6319.8,2115,33,9,8
83,10225.5,6365.8,1790,44,18,9
84,9527.6,1920.9,1760,36,11,6
461,35626.0,-4504.1,1700,31,12,3
79,-39125.6,9023.3,1600,31,5,4
360,-19442.1,-26008.9,1575,31,8,4
123,-10637.2,-1275.2,1470,14,4,2
85,7703.2,2544.1,1390,27,8,7
333,11422.2,29126.2,1350,29,7,5
113,8666.6,5345.8,1345,18,9,5
157,1317.1,15379.1,1190,31,6,6
331,7635.7,39595.6,1175,30,9,5
94,5877.1,7976.7,1100,26,12,6
375,-19733.9,-29657.0,1035,22,5,4
501,3040.5,30122.7,1030,21,4,4
69,-41425.2,11833.7,1015,20,3,3
370,-16196.4,-29908.5,970,20,5,4
579,11981.5,-23057.2,950,12,2,2
31,30935.7,-11493.3,940,21,6,5
586,4976.5,-10155.7,875,10,3,2
119,-6121.6,3871.6,865,20,5,3
39,34050.7,-3791.0,840,16,6,4
522,27240.2,25668.3,835,18,3,2
121,-11756.6,2661.3,820,19,3,3
283,-14431.1,-23608.0,815,15,3,3
27,-9034.1,30697.5,795,21,6,4
117,-9865.4,-355.9,745,13,2,2
885,17429.8,-30747.8,710,13,2,1
112,-108.0,7281.5,660,10,3,3
896,18482.8,-29466.4,660,6,2,1
444,27968.7,38604.0,655,11,1,1
325,7849.0,33694.6,635,19,5,5
551,26159.5,-14738.7,605,2,1,1
122,-12573.8,1589.2,590,10,2,2
472,22204.4,8735.7,590,12,4,4
135,-12681.9,-14790.7,585,13,4,4
210,8982.5,6818.5,575,13,6,4
332,4269.2,34259.5,570,13,6,4
1,-24020.4,33329.1,565,11,4,3
341,6374.6,42946.0,555,10,3,3
63,-31177.8,5659.6,550,12,4,2
47,25607.0,5755.4,545,10,3,3
140,-14352.0,-10291.7,540,14,6,6
107,-1019.1,14249.6,535,9,4,3
271,-40757.6,-3618.0,530,8,1,1
33,33300.3,-13679.8,525,14,6,6
685,1544.6,18566.5,520,6,2,2
5,-19411.1,32280.3,510,11,2,2
54,17124.4,-6526.3,500,11,7,6
104,-985.0,10956.8,500,10,4,3
141,-11707.2,-4556.4,500,7,2,2
82,-42166.2,9542.5,480,11,3,2
169,29641.6,-25936.5,480,10,2,2
631,13669.4,2691.0,480,3,1,1
909,16078.8,-26334.6,480,6,1,1
139,-18552.7,874.1,475,8,5,3
3,-7588.0,35541.3,465,12,3,3
233,25338.1,10187.7,465,11,5,4
294,-11050.8,-27527.5,465,13,5,4
189,19142.0,-30507.5,460,4,2,2
214,11422.8,5995.8,460,7,3,3
228,-374.8,14884.9,460,9,3,2
55,31252.8,-8019.8,455,11,5,5
72,-16424.1,6213.8,450,4,2,2
300,-13217.0,-18171.7,445,12,5,5
247,13247.1,3039.3,435,8,3,3
316,-37287.4,14376.2,435,11,3,3
454,26232.8,-12311.6,420,11,4,3
278,-2787.9,-16988.1,415,7,3,3
67,-38611.3,-3966.3,410,9,2,2
326,21396.7,39779.3,405,9,3,3
238,3533.8,23867.2,400,11,9,8
235,8605.2,6563.9,395,4,2,2
575,4807.4,-13543.6,390,10,2,2
163,19977.3,11735.6,380,11,3,3
395,12492.5,12431.4,380,9,6,6
307,-39471.2,17137.7,375,7,2,2
173,19428.4,-31701.8,370,3,3,2
334,13011.9,44837.0,370,6,2,2
344,4669.7,38381.9,370,10,4,4
291,-18208.9,-20988.8,365,8,4,4
467,34244.8,-1333.2,360,4,4,3
591,1134.1,-14027.0,360,7,3,2
12,-5552.6,34063.0,350,4,1,1
179,23035.6,-20427.9,345,9,4,3
359,-18990.2,-27374.1,345,6,3,3
174,26497.3,-13535.6,340,7,4,3
272,-1952.4,-12193.1,340,9,6,5
66,-41648.1,8886.7,335,6,3,2
286,-21179.5,-16745.0,330,9,6,5
95,12254.9,-2158.9,325,9,3,2
162,11140.8,23683.7,325,6,2,2
282,-8815.6,-17111.8,320,6,3,2
10,-7094.9,27475.2,315,4,2,2
158,11695.6,5484.0,315,4,4,4
338,7994.8,38561.5,310,4,2,2
634,-19425.8,15892.4,310,6,1,1
345,4098.0,38488.4,305,8,5,4
466,24663.7,-8262.5,305,5,4,3
523,25238.4,20446.8,295,3,1,1
216,4116.3,13855.1,290,8,2,2
390,20488.4,-1488.0,290,5,1,1
516,29968.2,19361.8,290,6,1,1
382,-26693.8,-25311.5,285,8,2,2
881,32817.4,676.8,285,4,1,1
377,-24309.3,-28160.3,280,1,1,1
497,11850.4,38450.6,280,4,2,1
802,14890.2,-29001.7,280,7,4,2
151,-12691.3,30483.4,275,6,3,2
276,-9370.6,-25130.0,275,8,3,3
6,-21845.9,20981.0,260,4,2,2
96,7463.7,214.3,260,6,3,3
456,39464.6,-6825.9,260,3,1,1
532,35571.8,25367.2,255,5,1,1
573,10652.1,-15795.3,255,6,2,1
698,2800.7,-7819.7,255,7,1,1
42,22490.9,-1988.9,250,5,2,2
50,25176.5,-8421.5,250,6,6,4
244,-4717.5,13745.9,250,6,4,4
191,25329.6,-25725.4,245,1,1,1
197,27683.2,-26179.4,245,7,2,2
409,-17238.6,-27939.9,245,2,2,1
887,19484.3,-25719.1,240,1,1,1
737,30556.2,11725.9,235,6,2,2
25,-15234.7,39004.3,230,6,3,3
353,-10361.6,3616.7,230,5,1,1
462,8985.2,-17411.4,230,5,4,4
521,21970.9,32417.8,230,4,1,1
611,-21670.2,32064.4,230,6,1,1
152,-14577.1,31731.8,225,5,2,2
313,-35458.1,23357.8,220,4,2,2
37,20153.0,5722.6,215,2,1,1
715,5447.5,-22627.9,215,6,2,2
295,-11215.2,-28013.2,210,6,4,4
597,8631.8,-16739.0,210,5,2,2
420,-16685.0,-30253.4,205,4,3,3
850,31005.1,-4613.4,205,3,2,2
23,-19609.6,26113.3,200,5,2,2
279,-16284.4,-22363.7,200,6,3,3
373,-26164.5,-21179.7,200,2,2,2
519,35430.6,21370.5,200,2,1,1
543,30110.1,-11392.4,200,4,2,2
908,17175.1,-30087.4,200,2,1,1
407,-11043.2,-32236.9,195,4,1,1
671,5162.3,28296.7,195,1,1,1
722,12204.7,41415.3,195,2,1,1
176,23969.3,-21640.8,190,2,1,1
201,22782.7,-28084.2,190,5,1,1
209,10726.3,4696.0,190,3,3,1
251,-40444.5,-11016.9,190,4,1,1
287,-11513.7,-25681.7,190,5,5,4
400,25633.4,12399.0,190,1,1,1
423,-5521.9,-27773.2,190,6,4,3
768,-32177.0,20864.3,190,4,2,2
125,-9952.3,669.3,185,4,2,1
301,-33392.7,18757.0,185,5,1,1
306,-39016.9,16359.0,185,4,3,3
505,11218.8,42063.5,185,3,1,1
19,-9647.7,27910.7,180,4,3,3
170,29313.7,-24519.6,180,3,2,2
547,32826.4,-14052.1,180,4,3,3
581,7087.0,-18230.6,180,2,2,1
49,24737.7,8530.9,175,3,3,3
172,17882.0,-32417.2,175,2,2,2
311,-34959.5,25184.3,175,3,1,1
358,-16945.2,-23387.6,175,3,2,2
371,-20522.2,-26237.2,175,3,2,2
483,-10013.0,-26271.1,175,3,1,1
18,-9483.8,27397.9,170,4,2,2
137,-10679.4,-2764.3,170,2,2,2
589,5268.0,-15332.8,170,5,2,2
598,6022.2,-20288.6,170,5,2,2
827,26841.2,7158.7,170,4,1,1
44,25594.8,1542.8,165,2,1,1
183,26772.2,-21300.5,165,5,1,1
260,-40374.8,-8667.8,165,5,1,1
361,-21388.6,-28451.3,165,1,1,1
855,36846.7,-14170.3,165,4,1,1
35,14459.1,6016.8,160,2,2,2
206,22103.6,-20519.6,160,1,1,1
346,12812.4,37014.6,160,1,1,1
392,25792.1,-8837.9,160,2,2,2
422,-17372.3,-28711.0,160,3,1,1
74,-41652.6,9398.7,155,4,2,2
118,-6773.6,310.1,155,3,2,2
376,-9183.3,-24779.6,155,4,2,2
441,17739.1,38459.2,155,5,3,3
491,7436.6,36178.6,155,3,3,3
181,18899.8,-32182.1,150,4,2,2
299,-9923.5,-26930.1,150,3,2,2
475,-12544.3,-24840.3,150,3,2,2
665,7686.8,29444.0,150,4,2,1
689,-3279.5,-10121.0,150,3,1,1
13,-18134.6,21548.3,145,3,1,1
207,8545.8,14967.5,145,2,2,2
217,10220.6,8818.9,145,2,1,1
220,15343.7,7776.4,145,1,1,1
273,-13856.1,-23860.7,145,2,2,2
623,-27205.1,23286.0,145,4,3,3
632,14671.3,6813.4,145,3,2,1
662,9339.4,30695.7,145,2,2,1
738,26255.3,5844.2,145,2,1,1
9,-27874.4,22380.2,140,2,1,1
26,-15203.9,38656.5,140,2,1,1
190,24995.5,-26282.4,140,3,2,2
195,22620.0,-32053.8,140,3,1,1
225,2883.0,4677.7,140,3,2,2
258,-40428.3,2076.8,140,2,1,1
343,2586.5,30286.4,140,4,2,2
378,-24068.8,-27999.8,140,2,1,1
451,31917.1,-7961.0,140,4,2,2
490,-10446.5,-28797.3,140,1,1,1
590,5311.1,-16114.8,140,3,1,1
854,39913.4,-5635.8,140,1,1,1
22,-19909.8,26312.1,135,3,2,2
416,-19136.2,-28983.1,135,1,1,1
479,-10693.8,-27969.9,135,3,3,1
507,-309.5,36684.4,135,3,1,1
52,31506.0,-4187.0,130,4,2,2
62,-31351.0,-4829.5,130,2,2,2
484,-18060.9,-18028.0,130,3,1,1
510,3900.0,39630.6,130,3,1,1
548,25484.5,-11075.4,130,2,1,1
557,26849.3,-12296.7,130,2,2,2
558,27282.8,-12222.4,130,3,2,2
702,1721.1,-12917.5,130,3,1,1
771,-40995.4,23022.5,130,3,1,1
775,-39010.1,874.6,130,1,1,1
805,29907.4,-20967.6,130,3,1,1
40,31529.5,-3778.5,125,3,3,2
155,-16165.5,38340.9,125,2,1,1
222,12876.5,12577.4,125,4,3,3
453,36771.0,-12174.4,125,3,1,1
457,38628.4,-6843.1,125,2,1,1
529,31902.2,28075.6,125,3,1,1
683,1628.4,21610.9,125,2,2,2
720,6594.8,43863.5,125,3,2,2
848,-38019.7,19242.1,125,1,1,1
894,15998.3,-30627.8,125,1,1,1
199,29024.9,-22205.0,120,3,2,2
290,-12064.0,-24604.5,120,3,2,2
418,3336.9,-25477.6,120,3,1,1
525,22751.8,27428.2,120,2,1,1
554,21937.2,-17992.5,120,2,2,2
658,-19444.6,25732.3,120,2,2,2
664,7451.9,29933.5,120,2,2,2
712,1198.3,-7298.6,120,1,1,1
717,3234.7,-18480.8,120,3,1,1
801,32966.4,-20124.2,120,2,2,1
126,-13964.5,3138.9,115,3,3,3
194,23426.7,-33313.1,115,2,1,1
215,11457.1,4894.1,115,2,2,2
414,-20399.6,-21729.2,115,3,1,1
754,6822.5,7127.8,115,3,1,1
144,-12682.7,2733.2,110,2,1,1
156,-14469.4,38712.8,110,3,2,2
243,-4457.6,14552.3,110,3,2,2
342,9381.4,41762.9,110,2,1,1
391,4891.1,-6029.0,110,3,2,2
520,33466.1,22575.2,110,1,1,1
620,-21931.8,32416.7,110,1,1,1
