gx,gy,value,count
12,10,-1.1903,244
9,4,-0.2283,2500
5,3,-0.5592,466
9,7,-3.3563,692
7,5,-2.0188,424
13,15,1.7203,271
8,0,-1.0954,63
11,10,-0.3755,341
1,4,-2.8665,183
14,10,-2.5826,60
8,14,2.2893,627
14,12,4.3176,525
1,8,-0.7101,590
11,1,-2.3749,882
8,10,-0.6694,1330
0,11,-0.1795,317
4,2,3.6262,486
10,7,-1.6486,358
13,2,-1.3089,376
5,8,-0.4842,794
4,10,2.5272,831
2,14,-1.8263,40
13,5,0.1585,2571
10,2,-0.3139,761
8,9,2.3420,1160
1,10,0.9707,709
3,14,-1.6018,250
14,5,-0.3939,513
2,4,-2.9071,252
9,14,3.2012,926
15,12,-0.4359,111
8,1,0.7234,315
9,8,-0.2242,2436
8,6,0.0366,797
5,10,2.7671,291
11,11,-1.9617,716
4,3,-1.0742,373
13,14,0.2485,193
1,3,-0.6942,368
14,9,0.3732,242
9,3,-2.0123,670
0,10,2.3073,643
13,9,4.1196,767
1,7,-1.4782,257
14,6,-0.2562,1475
10,11,1.6395,792
2,8,-1.0770,432
1,11,1.3939,1118
13,3,0.6827,808
5,7,-0.9507,339
4,11,0.2965,825
8,7,-0.5367,282
12,15,2.1023,48
12,9,0.7862,1959
8,5,-0.1628,1204
7,10,-1.3899,737
7,7,-0.1378,95
13,12,2.5371,1287
7,6,-0.5784,444
10,1,0.5414,281
7,11,-0.4456,423
7,14,-2.9155,290
8,8,-1.5894,333
6,12,-2.3541,784
12,3,-0.7563,649
6,14,-3.3467,246
6,8,-1.4516,188
4,12,0.4011,559
12,14,-1.1441,312
5,14,-2.3214,287
6,9,-0.3110,298
5,13,1.1042,561
5,12,-1.4979,578
3,13,-0.0686,947
13,6,0.7301,1040
10,10,-0.3767,208
4,13,0.5370,867
2,7,0.1431,150
2,11,-1.6604,372
5,4,-2.2874,431
13,4,1.0298,195
11,14,-0.6900,170
9,10,-0.7996,422
2,10,1.2753,164
9,11,-0.9864,293
2,5,-1.0838,90
12,4,0.6004,710
6,10,0.1734,124
10,15,-3.5044,87
9,1,-1.4110,101
13,7,0.6761,156
8,11,-1.5200,1241
11,9,0.7100,511
9,15,-4.1915,264
7,12,0.4486,271
10,9,-1.3989,939
0,7,-0.9620,127
3,10,1.9008,291
5,5,-1.5868,240
6,11,0.6249,244
8,15,-4.1745,95
12,6,-0.0998,557
7,15,-4.7233,30
9,2,-0.7878,155
12,7,-0.7287,314
3,5,0.2563,82
6,13,0.6468,569
3,6,-0.4027,298
5,6,-1.7537,125
11,7,-0.7695,135
6,6,-1.0967,233
4,5,1.4229,58
11,8,-0.8709,291
4,7,-1.1389,292
11,2,-1.7846,718
4,14,1.3521,19
1,9,2.2462,165
6,7,-1.6503,189
10,8,-0.5956,1115
5,11,0.0114,237
13,13,0.8867,69
8,12,0.8649,230
12,13,-0.8400,317
8,13,2.9985,1085
7,13,-3.6942,74
7,8,-1.4738,192
9,0,2.2938,10
13,10,3.2290,95
5,9,-0.5203,240
12,8,-0.8538,738
6,15,-4.5687,12
8,4,-0.1784,253
8,2,2.6083,172
10,3,6.5250,345
4,6,0.0004,32
8,3,0.6774,66
10,4,-0.8016,742
7,4,-1.5616,262
7,2,2.8165,165
3,7,-0.3086,182
6,4,0.8040,92
7,3,1.1801,48
11,5,0.4515,240
6,3,2.3012,78
6,5,-0.3995,54
11,6,3.5069,642
2,9,-2.4599,56
2,12,-4.3509,134
3,9,-1.1349,486
9,6,-1.7242,248
4,8,-0.4157,88
7,9,-0.7842,514
9,9,-2.7845,278
3,12,-3.1587,339
2,6,0.5872,143
1,5,-3.3653,76
2,3,0.8477,58
15,13,-0.2105,16
5,2,1.3835,363
10,6,-1.2075,155
9,13,2.0329,1013
4,4,-2.2277,178
13,11,-1.0252,215
11,3,-0.4755,35
9,12,1.4349,405
0,9,3.3827,761
12,5,-0.2795,642
1,2,0.7023,121
0,8,-2.7831,54
10,12,-0.6644,672
10,13,-1.1017,113
13,8,0.4757,476
12,11,-3.6190,226
11,13,2.2189,112
10,14,2.3891,75
11,15,-1.9933,55
14,11,-4.3585,136
14,7,1.2830,350
10,5,-1.2567,41
15,7,1.4323,111
3,4,-1.8689,185
15,11,-2.8298,71
14,8,1.8714,179
15,9,-0.8495,62
12,12,-1.1348,344
15,8,-1.4247,18
15,10,-2.6017,42
14,13,-0.4206,124
3,3,7.1744,37
12,2,-1.6762,272
5,1,3.0071,5
11,4,0.8356,283
6,0,-4.0230,2
7,0,-4.0230,1
9,5,-2.1563,287
14,4,-3.2909,329
0,5,0.5339,55
0,6,-0.2337,44
1,6,-2.7494,52
3,8,0.3351,168
4,9,-2.4303,196
6,2,0.1384,102
14,3,-0.3486,95
15,6,2.2402,313
14,2,1.0848,25
11,12,-2.1195,48
3,11,0.6128,274
14,1,-2.0577,1
2,13,-3.0154,9
15,5,-0.5257,216
12,1,-6.0230,1
2,2,-6.3062,1
5,15,-6.3062,1
1,12,1.0392,10
0,12,2.9298,6
15,4,-4.7240,98
3,2,-1.0230,4
7,1,2.6215,6
6,1,3.6938,1
14,14,-1.0796,5
15,3,0.3689,1
