gx,gy,value,coverage
0,0,0.0000,0
1,0,0.0000,0
2,0,0.0000,0
3,0,0.0000,0
4,0,0.0000,0
5,0,0.0000,0
6,0,0.0000,0
7,0,0.0000,0
8,0,0.0000,0
9,0,0.0000,0
10,0,0.0000,0
11,0,0.0000,0
12,0,0.0010,1
13,0,0.0010,1
14,0,0.0000,0
15,0,0.0019,1
16,0,0.0019,1
17,0,0.0000,0
18,0,0.0000,0
19,0,0.0000,0
20,0,0.0000,0
21,0,0.0000,0
22,0,0.0000,0
23,0,0.0000,0
24,0,0.0000,0
25,0,0.0000,0
26,0,0.0000,0
27,0,0.0000,0
28,0,0.0000,0
29,0,0.0000,0
0,1,0.0000,0
1,1,0.0000,0
2,1,0.0000,0
3,1,0.0000,0
4,1,0.0000,0
5,1,0.0000,0
6,1,0.0000,0
7,1,0.0000,0
8,1,0.0000,0
9,1,0.0000,0
10,1,0.0000,0
11,1,0.0010,1
12,1,0.0000,0
13,1,0.0000,0
14,1,0.0000,0
15,1,-0.0256,7
16,1,-0.1433,18
17,1,0.0009,5
18,1,-0.0000,1
19,1,0.0000,0
20,1,0.0000,0
21,1,0.0000,0
22,1,0.0000,0
23,1,0.0000,0
24,1,0.0000,0
25,1,0.0000,0
26,1,0.0000,0
27,1,0.0000,0
28,1,0.0000,0
29,1,0.0000,0
0,2,0.0000,0
1,2,0.0000,0
2,2,0.0000,0
3,2,0.0000,0
4,2,0.0000,0
5,2,0.0000,0
6,2,0.0000,0
7,2,0.0000,0
8,2,0.0000,0
9,2,0.0000,0
10,2,0.0000,0
11,2,0.0010,1
12,2,0.0000,0
13,2,0.0000,0
14,2,0.0000,0
15,2,-0.0143,25
16,2,-0.0050,27
17,2,-0.0891,16
18,2,0.0127,3
19,2,0.0136,7
20,2,0.0916,16
21,2,-0.2345,14
22,2,-0.0000,1
23,2,0.0000,0
24,2,0.0000,0
25,2,0.0000,0
26,2,0.0000,0
27,2,0.0000,0
28,2,0.0000,0
29,2,0.0000,0
0,3,0.0000,0
1,3,0.0000,0
2,3,0.0000,0
3,3,-0.0184,3
4,3,0.0000,0
5,3,0.0000,0
6,3,0.0000,0
7,3,0.0000,0
8,3,0.1597,2
9,3,1.0335,2
10,3,0.0048,2
11,3,0.0038,1
12,3,0.0000,0
13,3,-0.0595,2
14,3,0.0420,6
15,3,0.0528,17
16,3,0.1167,17
17,3,-0.0404,11
18,3,-0.2226,21
19,3,-0.3317,21
20,3,0.3347,36
21,3,-0.5971,31
22,3,-0.0904,6
23,3,0.0000,0
24,3,0.0000,0
25,3,0.0000,0
26,3,-0.0152,2
27,3,0.0000,0
28,3,0.0000,0
29,3,0.0000,0
0,4,0.0000,0
1,4,0.0000,0
2,4,-0.0155,4
3,4,-0.1246,12
4,4,0.0000,0
5,4,0.0000,0
6,4,-0.0047,1
7,4,0.2106,2
8,4,1.4776,7
9,4,0.3502,15
10,4,0.0657,4
11,4,-0.2608,4
12,4,0.0566,4
13,4,0.1778,10
